Datum,Uhrzeit,ADC,Rs_Ohm,PPM_CO2
2026-03-26,09:32:44,50,7784.0,451.03
2026-03-26,09:32:46,49,7951.0,425.28
2026-03-26,09:32:48,49,7951.0,425.28
2026-03-26,09:45:53,58,6655.2,443.73
2026-03-26,09:45:55,59,6535.6,466.58
2026-03-26,09:45:57,59,6535.6,466.58
2026-03-26,09:45:59,60,6420.0,490.22
2026-03-26,09:46:01,60,6420.0,490.22
2026-03-26,09:46:03,60,6420.0,490.22
2026-03-26,09:46:05,60,6420.0,490.22
2026-03-26,09:46:07,60,6420.0,490.22
2026-03-26,09:46:09,60,6420.0,490.22
2026-03-26,09:46:11,60,6420.0,490.22
2026-03-26,09:46:13,59,6535.6,466.58
2026-03-26,09:46:15,59,6535.6,466.58
2026-03-26,09:46:17,59,6535.6,466.58
2026-03-26,09:46:19,59,6535.6,466.58
2026-03-26,09:46:21,59,6535.6,466.58
2026-03-26,09:46:23,59,6535.6,466.58
2026-03-26,09:46:25,59,6535.6,466.58
2026-03-26,09:46:27,59,6535.6,466.58
2026-03-26,09:46:29,59,6535.6,466.58
2026-03-26,09:46:31,59,6535.6,466.58
2026-03-26,09:46:33,59,6535.6,466.58
2026-03-26,09:46:35,59,6535.6,466.58
2026-03-26,09:46:37,59,6535.6,466.58
2026-03-26,09:46:39,59,6535.6,466.58
2026-03-26,09:46:41,59,6535.6,466.58
2026-03-26,09:46:43,59,6535.6,466.58
2026-03-26,09:46:45,58,6655.2,443.73
2026-03-26,09:46:47,58,6655.2,443.73
2026-03-26,09:46:49,58,6655.2,443.73
2026-03-26,09:46:51,58,6655.2,443.73
2026-03-26,09:46:53,59,6535.6,466.58
2026-03-26,09:46:55,59,6535.6,466.58
2026-03-26,09:46:57,59,6535.6,466.58
2026-03-26,09:46:59,59,6535.6,466.58
2026-03-26,09:47:01,59,6535.6,466.58
2026-03-26,09:47:03,59,6535.6,466.58
2026-03-26,09:47:05,58,6655.2,443.73
2026-03-26,09:47:07,58,6655.2,443.73
2026-03-26,09:47:09,58,6655.2,443.73
2026-03-26,09:47:11,58,6655.2,443.73
2026-03-26,09:47:13,58,6655.2,443.73
2026-03-26,09:47:15,58,6655.2,443.73
2026-03-26,09:47:17,58,6655.2,443.73
2026-03-26,09:47:19,58,6655.2,443.73
2026-03-26,09:47:21,58,6655.2,443.73
2026-03-26,09:47:23,58,6655.2,443.73
2026-03-26,09:47:25,58,6655.2,443.73
2026-03-26,09:47:27,58,6655.2,443.73
