Datum,Uhrzeit,ADC_Wert,PPM
2026-03-25,10:11:03,60,412.52
2026-03-25,10:11:05,52,271.27
2026-03-25,10:11:07,51,256.34
2026-03-25,10:11:09,52,271.27
2026-03-25,10:11:11,51,256.34
2026-03-25,10:11:13,51,256.34
2026-03-25,10:11:15,51,256.34
2026-03-25,10:11:17,51,256.34
2026-03-25,10:11:19,51,256.34
2026-03-25,10:11:21,53,286.78
2026-03-25,10:11:23,52,271.27
2026-03-25,10:11:25,51,256.34
2026-03-25,10:11:27,51,256.34
2026-03-25,10:11:29,51,256.34
2026-03-25,10:11:31,50,241.97
2026-03-25,10:11:33,51,256.34
2026-03-25,10:11:35,51,256.34
2026-03-25,10:11:37,51,256.34
2026-03-25,10:11:39,51,256.34
2026-03-25,10:11:41,51,256.34
2026-03-25,10:11:43,51,256.34
2026-03-25,10:11:45,50,241.97
2026-03-25,10:11:47,50,241.97
2026-03-25,10:11:49,50,241.97
2026-03-25,10:11:51,50,241.97
2026-03-25,10:11:53,45,178.19
2026-03-25,10:11:55,46,189.91
2026-03-25,10:11:57,50,241.97
2026-03-25,10:11:59,55,319.58
2026-03-25,10:12:01,55,319.58
2026-03-25,10:12:03,142,5734.07
2026-03-25,10:12:05,139,5354.22
2026-03-25,10:12:07,139,5354.22
2026-03-25,10:12:09,144,5998.12
2026-03-25,10:12:11,144,5998.12
2026-03-25,10:12:13,152,7145.46
2026-03-25,10:12:15,76,831.5
2026-03-25,10:12:17,81,1006.59
2026-03-25,10:12:19,36,93.65
2026-03-25,10:12:21,87,1248.74
2026-03-25,10:12:23,59,392.63
2026-03-25,10:12:25,61,433.08
2026-03-25,10:12:27,61,433.08
2026-03-25,10:12:29,60,412.52
2026-03-25,10:12:31,60,412.52
2026-03-25,10:12:33,60,412.52
2026-03-25,10:12:35,60,412.52
2026-03-25,10:12:37,61,433.08
2026-03-25,10:12:39,57,354.83
2026-03-25,10:12:41,101,1968.04
2026-03-25,10:12:43,73,737.27
2026-03-25,10:12:45,72,707.58
2026-03-25,10:12:47,71,678.72
2026-03-25,10:12:49,71,678.72
2026-03-25,10:12:51,71,678.72
2026-03-25,10:12:53,71,678.72
2026-03-25,10:12:55,71,678.72
2026-03-25,10:12:57,71,678.72
2026-03-25,10:12:59,70,650.69
2026-03-25,10:13:01,70,650.69
2026-03-25,10:13:03,70,650.69
2026-03-25,10:13:05,70,650.69
2026-03-25,10:13:07,71,678.72
2026-03-25,10:13:09,71,678.72
2026-03-25,10:13:11,72,707.58
2026-03-25,10:13:13,84,1123.11
2026-03-25,10:13:15,82,1044.45
2026-03-25,10:13:17,81,1006.59
2026-03-25,10:13:19,78,898.76
2026-03-25,10:13:21,77,864.68
2026-03-25,10:13:23,74,767.81
2026-03-25,10:13:25,81,1006.59
2026-03-25,10:13:27,68,597.02
2026-03-25,10:13:29,68,597.02
2026-03-25,10:13:31,67,571.37
2026-03-25,10:13:33,68,597.02
2026-03-25,10:13:35,78,898.76
2026-03-25,10:13:37,73,737.27
2026-03-25,10:13:39,60,412.52
2026-03-25,10:13:41,62,454.33
2026-03-25,10:13:43,79,933.76
2026-03-25,10:13:45,76,831.5
2026-03-25,10:13:47,74,767.81
2026-03-25,10:13:49,71,678.72
2026-03-25,10:13:51,76,831.5
2026-03-25,10:13:53,77,864.68
2026-03-25,10:13:55,76,831.5
2026-03-25,10:13:57,56,336.89
2026-03-25,10:13:59,67,571.37
2026-03-25,10:14:01,65,522.35
2026-03-25,10:14:03,65,522.35
2026-03-25,10:14:05,64,498.95
2026-03-25,10:14:07,62,454.33
2026-03-25,10:14:09,60,412.52
2026-03-25,10:14:11,59,392.63
2026-03-25,10:14:13,59,392.63
2026-03-25,10:14:15,58,373.4
2026-03-25,10:14:17,58,373.4
2026-03-25,10:14:19,58,373.4
2026-03-25,10:14:21,58,373.4
2026-03-25,10:14:23,57,354.83
2026-03-25,10:14:25,84,1123.11
2026-03-25,10:14:27,61,433.08
2026-03-25,10:14:29,46,189.91
2026-03-25,10:16:26,74,560.41
2026-03-25,10:16:28,66,398.86
2026-03-25,10:16:30,66,398.86
2026-03-25,10:16:32,66,398.86
2026-03-25,10:16:34,66,398.86
2026-03-25,10:16:36,66,398.86
2026-03-25,10:16:38,66,398.86
2026-03-25,10:16:40,66,398.86
2026-03-25,10:16:42,66,398.86
2026-03-25,10:16:44,65,381.25
2026-03-25,10:16:46,65,381.25
2026-03-25,10:16:48,65,381.25
2026-03-25,10:16:50,65,381.25
2026-03-25,10:16:52,65,381.25
2026-03-25,10:16:54,65,381.25
2026-03-25,10:16:56,64,364.17
2026-03-25,10:16:58,65,381.25
2026-03-25,10:17:00,64,364.17
2026-03-25,10:17:02,64,364.17
2026-03-25,10:17:04,64,364.17
2026-03-25,10:17:06,64,364.17
2026-03-25,10:17:08,64,364.17
2026-03-25,10:17:10,64,364.17
2026-03-25,10:17:12,64,364.17
2026-03-25,10:17:14,64,364.17
2026-03-25,10:17:16,64,364.17
2026-03-25,10:17:18,64,364.17
2026-03-25,10:17:20,65,381.25
2026-03-25,10:17:22,64,364.17
2026-03-25,10:17:24,64,364.17
2026-03-25,10:17:26,64,364.17
2026-03-25,10:17:28,64,364.17
2026-03-25,10:17:31,64,364.17
2026-03-25,10:17:33,64,364.17
2026-03-25,10:17:35,64,364.17
2026-03-25,10:17:37,64,364.17
2026-03-25,10:17:39,64,364.17
2026-03-25,10:17:41,64,364.17
2026-03-25,10:17:43,64,364.17
2026-03-25,10:17:45,64,364.17
2026-03-25,10:17:47,65,381.25
2026-03-25,10:17:49,64,364.17
2026-03-25,10:17:51,64,364.17
2026-03-25,10:17:53,64,364.17
2026-03-25,10:17:55,63,347.63
2026-03-25,10:17:57,64,364.17
2026-03-25,10:17:59,64,364.17
2026-03-25,10:18:01,64,364.17
2026-03-25,10:18:03,64,364.17
2026-03-25,10:18:05,64,364.17
2026-03-25,10:18:07,64,364.17
2026-03-25,10:18:09,64,364.17
2026-03-25,10:18:11,64,364.17
2026-03-25,10:18:13,63,347.63
2026-03-25,10:18:15,64,364.17
2026-03-25,10:18:17,64,364.17
2026-03-25,10:18:19,64,364.17
2026-03-25,10:18:21,64,364.17
2026-03-25,10:18:23,64,364.17
2026-03-25,10:18:25,64,364.17
2026-03-25,10:18:27,64,364.17
2026-03-25,10:18:29,64,364.17
2026-03-25,10:18:31,64,364.17
2026-03-25,10:18:33,64,364.17
2026-03-25,10:18:35,63,347.63
2026-03-25,10:18:37,63,347.63
2026-03-25,10:18:39,63,347.63
2026-03-25,10:18:41,63,347.63
2026-03-25,10:18:43,63,347.63
2026-03-25,10:18:45,63,347.63
2026-03-25,10:18:47,64,364.17
2026-03-25,10:18:49,64,364.17
2026-03-25,10:18:51,64,364.17
2026-03-25,10:18:53,64,364.17
2026-03-25,10:18:55,64,364.17
2026-03-25,10:18:57,64,364.17
2026-03-25,10:18:59,64,364.17
2026-03-25,10:19:01,64,364.17
2026-03-25,10:19:03,63,347.63
2026-03-25,10:19:05,63,347.63
2026-03-25,10:19:07,63,347.63
2026-03-25,10:19:09,63,347.63
2026-03-25,10:19:11,63,347.63
2026-03-25,10:19:13,63,347.63
2026-03-25,10:19:15,63,347.63
2026-03-25,10:19:17,63,347.63
2026-03-25,10:19:19,63,347.63
2026-03-25,10:19:21,63,347.63
2026-03-25,10:19:23,63,347.63
2026-03-25,10:19:25,63,347.63
2026-03-25,10:19:27,63,347.63
2026-03-25,10:19:29,62,331.6
2026-03-25,10:19:31,63,347.63
2026-03-25,10:19:33,62,331.6
2026-03-25,10:19:35,63,347.63
2026-03-25,10:19:37,63,347.63
2026-03-25,10:19:39,62,331.6
2026-03-25,10:19:41,63,347.63
2026-03-25,10:19:43,62,331.6
2026-03-25,10:19:45,62,331.6
2026-03-25,10:19:47,62,331.6
2026-03-25,10:19:49,62,331.6
2026-03-25,10:19:51,63,347.63
2026-03-25,10:19:53,62,331.6
2026-03-25,10:19:55,62,331.6
2026-03-25,10:19:57,62,331.6
2026-03-25,10:19:59,62,331.6
2026-03-25,10:20:01,62,331.6
2026-03-25,10:20:03,62,331.6
2026-03-25,10:20:05,62,331.6
2026-03-25,10:20:07,62,331.6
2026-03-25,10:20:09,63,347.63
2026-03-25,10:20:11,63,347.63
2026-03-25,10:20:13,62,331.6
2026-03-25,10:20:15,62,331.6
2026-03-25,10:20:17,62,331.6
2026-03-25,10:20:19,62,331.6
2026-03-25,10:20:21,63,347.63
2026-03-25,10:20:23,62,331.6
2026-03-25,10:20:25,63,347.63
2026-03-25,10:20:27,62,331.6
2026-03-25,10:20:29,62,331.6
2026-03-25,10:20:31,62,331.6
2026-03-25,10:20:33,62,331.6
2026-03-25,10:20:35,63,347.63
2026-03-25,10:20:37,63,347.63
2026-03-25,10:20:39,63,347.63
2026-03-25,10:20:41,63,347.63
2026-03-25,10:20:43,62,331.6
2026-03-25,10:20:45,62,331.6
2026-03-25,10:20:47,62,331.6
2026-03-25,10:20:49,62,331.6
2026-03-25,10:20:51,62,331.6
2026-03-25,10:20:53,62,331.6
2026-03-25,10:20:55,62,331.6
2026-03-25,10:20:57,62,331.6
2026-03-25,10:20:59,62,331.6
2026-03-25,10:21:01,62,331.6
2026-03-25,10:21:03,61,316.09
2026-03-25,10:21:05,61,316.09
2026-03-25,10:21:07,62,331.6
2026-03-25,10:21:09,62,331.6
2026-03-25,10:21:11,62,331.6
2026-03-25,10:21:13,62,331.6
2026-03-25,10:21:15,62,331.6
2026-03-25,10:21:17,62,331.6
2026-03-25,10:21:19,61,316.09
2026-03-25,10:21:21,61,316.09
2026-03-25,10:21:23,61,316.09
2026-03-25,10:21:25,62,331.6
2026-03-25,10:21:27,61,316.09
2026-03-25,10:21:29,61,316.09
2026-03-25,10:21:31,61,316.09
2026-03-25,10:21:33,61,316.09
2026-03-25,10:21:35,61,316.09
2026-03-25,10:21:37,61,316.09
2026-03-25,10:21:39,62,331.6
2026-03-25,10:21:41,62,331.6
2026-03-25,10:21:43,62,331.6
2026-03-25,10:21:45,61,316.09
2026-03-25,10:21:47,61,316.09
2026-03-25,10:21:49,61,316.09
2026-03-25,10:21:51,61,316.09
2026-03-25,10:21:53,61,316.09
2026-03-25,10:21:55,61,316.09
2026-03-25,10:21:57,61,316.09
2026-03-25,10:21:59,62,331.6
2026-03-25,10:22:01,61,316.09
2026-03-25,10:22:03,61,316.09
2026-03-25,10:22:05,61,316.09
2026-03-25,10:22:07,59,286.57
2026-03-25,10:22:09,61,316.09
2026-03-25,10:22:11,61,316.09
2026-03-25,10:22:13,62,331.6
2026-03-25,10:22:15,62,331.6
2026-03-25,10:22:17,62,331.6
2026-03-25,10:22:19,62,331.6
2026-03-25,10:22:21,62,331.6
2026-03-25,10:22:23,62,331.6
2026-03-25,10:22:25,61,316.09
2026-03-25,10:22:27,62,331.6
2026-03-25,10:22:29,62,331.6
2026-03-25,10:22:31,61,316.09
2026-03-25,10:22:33,61,316.09
2026-03-25,10:22:35,61,316.09
2026-03-25,10:22:37,61,316.09
2026-03-25,10:22:39,61,316.09
2026-03-25,10:22:41,61,316.09
2026-03-25,10:22:43,61,316.09
2026-03-25,10:22:45,61,316.09
2026-03-25,10:22:47,61,316.09
2026-03-25,10:22:49,61,316.09
2026-03-25,10:22:51,61,316.09
2026-03-25,10:22:53,61,316.09
2026-03-25,10:22:55,61,316.09
2026-03-25,10:22:57,61,316.09
2026-03-25,10:22:59,61,316.09
2026-03-25,10:23:01,61,316.09
2026-03-25,10:23:03,61,316.09
2026-03-25,10:23:05,61,316.09
2026-03-25,10:23:07,62,331.6
2026-03-25,10:23:09,67,417.03
2026-03-25,10:23:11,67,417.03
2026-03-25,10:23:13,66,398.86
2026-03-25,10:23:15,66,398.86
2026-03-25,10:23:17,66,398.86
2026-03-25,10:23:19,66,398.86
2026-03-25,10:23:21,66,398.86
2026-03-25,10:23:23,66,398.86
2026-03-25,10:23:25,66,398.86
2026-03-25,10:23:27,66,398.86
2026-03-25,10:23:29,66,398.86
2026-03-25,10:23:31,66,398.86
2026-03-25,10:23:33,66,398.86
2026-03-25,10:23:35,66,398.86
2026-03-25,10:23:37,66,398.86
2026-03-25,10:23:39,66,398.86
2026-03-25,10:23:41,66,398.86
2026-03-25,10:23:43,66,398.86
2026-03-25,10:23:45,66,398.86
2026-03-25,10:23:47,66,398.86
2026-03-25,10:23:49,66,398.86
2026-03-25,10:23:51,66,398.86
2026-03-25,10:23:53,66,398.86
2026-03-25,10:23:55,66,398.86
2026-03-25,10:23:57,66,398.86
2026-03-25,10:23:59,66,398.86
2026-03-25,10:24:01,67,417.03
2026-03-25,10:24:03,66,398.86
2026-03-25,10:24:05,66,398.86
2026-03-25,10:24:07,66,398.86
2026-03-25,10:24:09,66,398.86
2026-03-25,10:24:11,66,398.86
2026-03-25,10:24:13,66,398.86
2026-03-25,10:24:15,66,398.86
2026-03-25,10:24:17,66,398.86
2026-03-25,10:24:19,66,398.86
2026-03-25,10:24:21,66,398.86
2026-03-25,10:24:24,66,398.86
2026-03-25,10:24:26,66,398.86
2026-03-25,10:24:28,66,398.86
2026-03-25,10:24:30,66,398.86
2026-03-25,10:24:32,66,398.86
2026-03-25,10:24:34,66,398.86
2026-03-25,10:24:36,66,398.86
2026-03-25,10:24:38,66,398.86
2026-03-25,10:24:40,66,398.86
2026-03-25,10:24:42,66,398.86
2026-03-25,10:24:44,66,398.86
2026-03-25,10:24:46,66,398.86
2026-03-25,10:24:48,66,398.86
2026-03-25,10:24:50,66,398.86
2026-03-25,10:24:52,66,398.86
2026-03-25,10:24:54,66,398.86
2026-03-25,10:24:56,66,398.86
2026-03-25,10:24:58,66,398.86
2026-03-25,10:25:00,66,398.86
2026-03-25,10:25:02,67,417.03
2026-03-25,10:25:04,67,417.03
2026-03-25,10:25:06,67,417.03
2026-03-25,10:25:08,67,417.03
2026-03-25,10:25:10,67,417.03
2026-03-25,10:25:12,67,417.03
2026-03-25,10:25:14,67,417.03
2026-03-25,10:25:16,67,417.03
2026-03-25,10:25:18,67,417.03
2026-03-25,10:25:20,67,417.03
2026-03-25,10:25:22,66,398.86
2026-03-25,10:25:24,66,398.86
2026-03-25,10:25:26,66,398.86
2026-03-25,10:25:28,67,417.03
2026-03-25,10:25:30,67,417.03
2026-03-25,10:25:32,66,398.86
2026-03-25,10:25:34,66,398.86
2026-03-25,10:25:36,66,398.86
2026-03-25,10:25:38,68,435.75
2026-03-25,10:25:40,67,417.03
2026-03-25,10:25:42,66,398.86
2026-03-25,10:25:44,66,398.86
2026-03-25,10:25:46,67,417.03
2026-03-25,10:25:48,67,417.03
2026-03-25,10:25:50,67,417.03
2026-03-25,10:25:52,67,417.03
2026-03-25,10:25:54,66,398.86
